,word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
125,MP,192544,Beretta,4165,https://en.wikipedia.org/wiki/List_of_firearm_brands,True,brands,1.0
126,MP,192544,MTs,3549,https://en.wikipedia.org/wiki/List_of_firearm_brands,True,brands,1.0
127,MP,192544,Ruger,2840,https://en.wikipedia.org/wiki/List_of_firearm_brands,True,brands,2.0
128,IBM,174355,Intel,173708,https://en.wikipedia.org/wiki/List_of_electronics_brands,False,brands,671.0
129,IBM,174355,Amazon,112967,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,35.0
130,IBM,174355,Dell,109489,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,270.0
131,IBM,174355,BT,107903,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,4.0
132,IBM,174355,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,2.0
133,IBM,174355,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,347.0
134,Intel,173708,Amazon,112967,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,43.0
135,Intel,173708,Dell,109489,https://en.wikipedia.org/wiki/List_of_electronics_brands,False,brands,622.0
136,Intel,173708,BT,107903,https://en.wikipedia.org/wiki/List_of_electronics_brands,False,brands,404.0
137,Intel,173708,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,211.0
138,Intel,173708,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,354.0
139,Chrysler,163926,Honda,163026,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,47.0
140,Chrysler,163926,Ferrari,92463,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,7.0
141,Chrysler,163926,BMW,91546,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,65.0
142,Chrysler,163926,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,95.0
143,Chrysler,163926,Mitsubishi,79047,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,31.0
144,Chrysler,163926,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,9.0
145,Chrysler,163926,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,48.0
146,Honda,163026,Ferrari,92463,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,72.0
147,Honda,163026,BMW,91546,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,209.0
148,Honda,163026,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,147.0
149,Honda,163026,Mitsubishi,79047,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,64.0
150,Honda,163026,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,44.0
151,Honda,163026,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,True,brands,72.0
152,Brooks,149405,Raymond,144349,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,6.0
153,Brooks,149405,Nike,61042,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,17.0
154,Brooks,149405,Salomon,50328,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,4.0
155,Brooks,149405,Gul,41993,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,0.0
156,Brooks,149405,Sting,34379,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,1.0
157,Brooks,149405,Ping,23315,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,0.0
158,Brooks,149405,Reebok,21047,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,2.0
159,Brooks,149405,Kappa,20241,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,0.0
160,Brooks,149405,Adidas,17628,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,5.0
161,Brooks,149405,Dunlop,16248,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,0.0
162,Raymond,144349,Nike,61042,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,False,brands,29.0
