index,name,source,type,cleaned_name,freq
237,Iriver,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Iriver,964
238,LG,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,LG,31991
239,Pantech,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Pantech,470
240,Samsung,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Samsung,71469
241,Kyocera,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Kyocera,4707
242,Hyundai,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Hyundai,55758
243,PEL,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,PEL,652
244,Pakistan Aeronautical Complex,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Pakistan Aeronautical Complex,106
245,QMobile,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,QMobile,8
246,Voice Mobile,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Voice Mobile,12
247,Dawlance,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Dawlance,0
248,United Mobile,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,United Mobile,36
249,Mentor Graphics,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Mentor Graphics,530
250,Wi-Tribe,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Wi-Tribe,23
251,Acer,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Acer,15541
252,AOC (AOC International) ((TPV Technology Limited)),https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,AOC,6550
253,Aopen,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Aopen,283
254,Asus,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Asus,3023
255,BenQ,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,BenQ,3325
256,D-Link,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,D-Link,1822
257,ECS,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,ECS,1955
258,Elsa,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Elsa,10526
259,EPoX,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,EPoX,42
260,Foxconn,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Foxconn,3942
261,Gigabyte,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Gigabyte,3343
262,HTC,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,HTC,9051
263,Lite-On,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Lite-On,317
264,MediaTek,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,MediaTek,814
