word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
Buick,3,Lexus,24863,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,484
Suzuki,65414,Mini,49695,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,477
Allure Homme Sport,0,Allure Homme,0,https://en.wikipedia.org/wiki/List_of_perfumes,TRUE,brands,474
Hewlett-Packard,42815,Toshiba,35472,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,473
GE,657,Sigma,26625,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,TRUE,brands,469
Honda,1626,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,468
Suzuki,65414,Fiat,571,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,466
Pain Relief,7897,Tylenol,45,https://en.wikipedia.org/wiki/Paracetamol_brand_names,TRUE,brands,466
Sony,2259,Kingston,786,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,459
GMC,155,Isuzu,511,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,456
Puma,778,Converse,96,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,TRUE,brands,456
Jaguar,37288,Lexus,24863,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,454
LG,31991,Fujitsu,18829,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,453
BMW,91546,Renault,76155,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,452
Bristol,95,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,452
Jaguar,37288,Opel,26739,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,451
Gigabyte,3343,Asus,23,https://en.wikipedia.org/wiki/List_of_electronics_brands,FALSE,brands,446
Chrysler,163926,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,444
Peugeot,73,Opel,26739,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,444
Honda,1626,Nissan,87485,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,441
BMW,91546,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,441
EMI,43633,Toshiba,35472,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,441
Mitsubishi,747,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,439
Benelli,1226,Mossberg,1135,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,429
Fiat,571,Porsche,44458,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,428
Chrysler,163926,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,423
Ferrari,92463,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,423
MS,7806,Newport,129,https://en.wikipedia.org/wiki/List_of_cigarette_brands,TRUE,brands,413
Pepsi,38546,Pepsi Cola,40,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,413
Jaguar,37288,Peugeot,73,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,397
Cadillac,36142,Peugeot,73,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,397
BenQ,3325,Asus,23,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,395
Jaguar,37288,Mazda,32534,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,394
Mizuno,4416,Titleist,2153,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,TRUE,brands,392
Nissan,87485,Mitsubishi,747,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,387
Coca-Cola,848,Dr Pepper,3864,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,383
Jaguar,37288,Mercedes-Benz,537,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,379
Mazda,32534,Lexus,24863,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,378
Newport,129,Marlboro,158,https://en.wikipedia.org/wiki/List_of_cigarette_brands,TRUE,brands,377
Mini,49695,Chevron,4,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,377
Kodak,44769,Leica,3968,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,TRUE,brands,373
Subaru,24154,Isuzu,511,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,367
Toyota,2132,Bristol,95,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,366
Cadillac,36142,Mazda,32534,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,359
Audi,33676,Jeep,26398,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,356
Apple,346971,Kingston,786,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,354
Advil,19,Motrin,954,https://en.wikipedia.org/wiki/Ibuprofen_brand_names,TRUE,brands,349
Ford,5394,Chevrolet,69521,https://en.wikipedia.org/wiki/List_of_car_brands,FALSE,brands,345
Philips,45573,EMI,43633,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,343
Cool,317181,Vantage,13938,https://en.wikipedia.org/wiki/List_of_cigarette_brands,TRUE,brands,343
Pepsi,38546,Dr Pepper,3864,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,339
Cool,317181,Newport,129,https://en.wikipedia.org/wiki/List_of_cigarette_brands,TRUE,brands,338
Panasonic,0,Kenwood,4184,https://en.wikipedia.org/wiki/List_of_car_audio_manufacturers_and_brands,TRUE,brands,334
Intel,1738,BT,73,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,333
Subaru,24154,Tesla,7,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,323
Volkswagen,676,Holden,439,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,312
Jaguar,37288,Buick,3,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,312
K2,72,Rossignol,1866,https://en.wikipedia.org/wiki/List_of_ski_brands,TRUE,brands,311
IBM,174355,BT,73,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,311
MR,21573,Alamo,19219,https://en.wikipedia.org/wiki/List_of_cigar_brands,TRUE,brands,298
Microsoft,611659,Kingston,786,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,295
Mazda,32534,Buick,3,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,293
Nikon,162,Vivitar,422,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,TRUE,brands,292
Casio,57,Pentax,4524,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,289
Pfaff,25,Janome,1,https://en.wikipedia.org/wiki/List_of_sewing_machine_brands,TRUE,brands,286
RCA,368,LG,31991,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,284
Salomon,328,Adidas,17628,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,TRUE,brands,279
Nike,642,Salomon,328,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,TRUE,brands,275
Jeep,26398,Lexus,24863,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,274
Kia,21524,GMC,155,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,272
Roxy,183,Billabong,1377,https://en.wikipedia.org/wiki/List_of_swimwear_brands,TRUE,brands,266
MR,21573,Croix,19528,https://en.wikipedia.org/wiki/List_of_cigar_brands,TRUE,brands,264
Coca-Cola,848,Schweppes,52,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,263
Foxconn,3942,Gigabyte,3343,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,254
Nikon,162,Polaroid,101,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,TRUE,brands,247
Canon,533,Philips,45573,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,246
Suzuki,65414,Holden,439,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,246
Snickers,95,Kit Kat,16,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,TRUE,brands,243
Kodak,44769,Sigma,26625,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,TRUE,brands,241
Mazda,32534,Peugeot,73,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,241
Ibuprofen,4643,Nurofen,523,https://en.wikipedia.org/wiki/Ibuprofen_brand_names,TRUE,brands,234
Sun Microsystems,813,Fujitsu,18829,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,231
Crest,31917,Pantene,716,https://en.wikipedia.org/wiki/List_of_Procter_%26_Gamble_brands,TRUE,brands,231
Ford,5394,BMW,91546,https://en.wikipedia.org/wiki/List_of_car_brands,FALSE,brands,228
Fiat,571,Bentley,41634,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,223
Taurus,18862,Remington,11297,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,222
Easton,22194,SRAM,1974,https://en.wikipedia.org/wiki/List_of_bicycle_part_manufacturing_companies,TRUE,brands,222
S&W,1453,SIG Sauer,285,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,215
Acer,15541,Qualcomm,142,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,215
Ibuprofen,4643,Nuprin,123,https://en.wikipedia.org/wiki/Ibuprofen_brand_names,TRUE,brands,214
Philips,45573,Hewlett-Packard,42815,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,213
Sun Microsystems,813,Hitachi,19714,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,213
Kia,21524,Acura,11234,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,212
MS,7806,Regent,327,https://en.wikipedia.org/wiki/List_of_cigarette_brands,TRUE,brands,211
Jaguar,37288,Jeep,26398,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,198
Buick,3,Peugeot,73,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,197
SR,75987,Colt,226,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,195
O'Neill,2525,Billabong,1377,https://en.wikipedia.org/wiki/List_of_swimwear_brands,TRUE,brands,193
Buick,3,Mercedes-Benz,537,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,192
Kingston,786,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,189
Mercedes-Benz,537,Jeep,26398,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,189
Under Armour,17,ASICS,75,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,TRUE,brands,188
Mercedes-Benz,537,Peugeot,73,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,187
Audi,33676,Tata,28963,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,186
Ram,47362,Bentley,41634,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,185
Toyota,2132,BMW,91546,https://en.wikipedia.org/wiki/List_of_car_brands,FALSE,brands,184
Nvidia,5947,SGI,4792,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,184
Coca-Cola,848,Mountain Dew,3133,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,181
Kodak,44769,Hasselblad,1984,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,TRUE,brands,181
Hasselblad,1984,Rollei,441,https://en.wikipedia.org/wiki/List_of_digital_camera_brands,TRUE,brands,179
Dell,9489,BT,73,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,178
Motorola,67682,Canon,533,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,177
Cisco Systems,185,Qualcomm,142,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,177
Sprite,5279,Mountain Dew,3133,https://en.wikipedia.org/wiki/List_of_brand_name_soft_drink_products,TRUE,brands,173
Google,319132,Kingston,786,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,172
Aston Martin,8212,Alfa Romeo,7778,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,169
SR,75987,Remington,11297,https://en.wikipedia.org/wiki/List_of_firearm_brands,TRUE,brands,167
Juki,125,Janome,1,https://en.wikipedia.org/wiki/List_of_sewing_machine_brands,TRUE,brands,165
Sony,2259,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,FALSE,brands,164
Subaru,24154,Vauxhall,14148,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,162
Land Rover,15328,Isuzu,511,https://en.wikipedia.org/wiki/List_of_car_brands,TRUE,brands,162
Tylenol,45,Panadol,268,https://en.wikipedia.org/wiki/Paracetamol_brand_names,TRUE,brands,159
Nokia,728,Hyundai,55758,https://en.wikipedia.org/wiki/List_of_electronics_brands,TRUE,brands,155
Pfaff,25,Juki,125,https://en.wikipedia.org/wiki/List_of_sewing_machine_brands,TRUE,brands,155
