index,name,source,type,cleaned_name,freq
248,Hash table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Hash table,749
249,Hash tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Hash tree,56
250,Hash trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Hash trie,5
251,Koorde,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Koorde,16
252,Prefix hash tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Prefix hash tree,4
253,Rolling hash,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Rolling hash,26
254,MinHash,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,MinHash,33
255,Quotient filter,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Quotient filter,12
256,Ctrie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Ctrie,15
257,Adjacency list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Adjacency list,55
258,Adjacency matrix,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Adjacency matrix,241
259,Graph-structured stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Graph-structured stack,4
260,Scene graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Scene graph,199
261,Binary decision diagram,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Binary decision diagram,16
262,Zero-suppressed decision diagram,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Zero-suppressed decision diagram,2
263,And-inverter graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,And-inverter graph,6
264,Directed graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Directed graph,571
265,Directed acyclic graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Directed acyclic graph,216
266,Propositional directed acyclic graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Propositional directed acyclic graph,3
267,Multigraph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Multigraph,116
268,Hypergraph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Hypergraph,293
269,Lightmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Lightmap,26
270,Winged edge,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Winged edge,13
271,Doubly connected edge list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Doubly connected edge list,7
272,Quad-edge,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Quad-edge,14
273,Routing table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Routing table,617
274,Symbol table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Symbol table,468
275,Google Summer of Code,https://en.wikipedia.org/wiki/List_of_programming_contests,event,Google Summer of Code,213
276,Ruby Summer of Code,https://en.wikipedia.org/wiki/List_of_programming_contests,event,Ruby Summer of Code,0
277,Fedora Summer Coding program,https://en.wikipedia.org/wiki/List_of_programming_contests,event,Fedora Summer Coding program,0
