name,source,type
Y-fast trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Merkle Tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Ctrie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Ternary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
K-ary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
And–or tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
"(a,b)-tree",https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Link/cut tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
SPQR-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Spaghetti stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Disjoint-set data structure,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Fusion tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Enfilade,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Exponential tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Fenwick tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Van Emde Boas tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Rose tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Segment tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Interval tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Range tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
K-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Implicit k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Min/max k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Relaxed k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Adaptive k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Quadtree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Octree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Linear octree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Z-order,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
UB-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
R-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
R+ tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
R* tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hilbert R-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
X-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Metric tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Cover tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
M-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
VP-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
BK-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bounding interval hierarchy,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bounding volume hierarchy,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
BSP tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Rapidly exploring random tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Abstract syntax tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Parse tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Decision tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Alternating decision tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Minimax tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Expectiminimax tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Finger tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Expression tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Log-structured merge-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Lexicographic Search Tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bloom filter,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Count-Min sketch,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Distributed hash table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Double Hashing,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Dynamic perfect hash table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hash array mapped trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hash list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hash table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hash tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hash trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Koorde,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Prefix hash tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Rolling hash,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
MinHash,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Quotient filter,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Ctrie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Adjacency list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Adjacency matrix,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Graph-structured stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Scene graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Binary decision diagram,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Zero-suppressed decision diagram,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
And-inverter graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Directed graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Directed acyclic graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Propositional directed acyclic graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Multigraph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hypergraph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Lightmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Winged edge,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Doubly connected edge list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Quad-edge,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Routing table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Symbol table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Google Summer of Code,https://en.wikipedia.org/wiki/List_of_programming_contests,event
Ruby Summer of Code,https://en.wikipedia.org/wiki/List_of_programming_contests,event
Fedora Summer Coding program,https://en.wikipedia.org/wiki/List_of_programming_contests,event
Google Highly Open Participation Contest,https://en.wikipedia.org/wiki/List_of_programming_contests,event
Halite AI Challenge,https://en.wikipedia.org/wiki/List_of_programming_contests,event
"200,000$ OpenWRT firmware/UI challenge",https://en.wikipedia.org/wiki/List_of_programming_contests,event
Eirrcon Application Awards,https://en.wikipedia.org/wiki/List_of_programming_contests,event
Allinea MAP by Allinea Software,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
AQtime by SmartBear Software,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
CodeAnalyst by AMD,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
AMD CodeXL by AMD,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
DevPartner,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
DTrace by Sun Microsystems,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
dynamoRIO by RIO,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Dynatrace,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Frida,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
FusionReactor,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
GlowCode,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
